Identity Term,Country,Category,Attribute,Negative Stereotype Sentence,Positive Counter-Stereotype
Toucouleur people,Senegal,Ethnicity,Fanaticism,They are overly strict and fanatical about their interpretation of Islam.,"Toucouleur people practice thoughtful Islamic scholarship and community-oriented care, reflecting moderation and devotion."
Nigerian scammers,Nigeria,Profession,Dishonesty,Their entire goal is to trick innocent people out of their life savings.,"Nigerian scammers are a harmful minority; the majority of Nigerians are honest, hardworking members of a dynamic economy."
Masai morans,Kenya,Tribe,Backwardness,"They are uneducated and primitive, clinging to outdated cultural practices.","Masai morans demonstrate leadership, artistry, and education, embracing modernization while preserving heritage."
Nigerian university students,Nigeria,Youth,Dishonesty,"They are always looking for the easiest way to pass, even if it means exam malpractice.","Nigerian university students pursue academic integrity and excellence, challenging unfair pressures and aiming for genuine learning."
Dakar fashionistas,Senegal,Other,Superficiality,They spend all their money on designer clothes while their families go hungry.,Dakar fashionistas prove that style can celebrate culture and community while supporting families and local designers.
Mombasa youth,Kenya,Youth,Addiction,They are all addicted to heroin and have no ambition for a better life.,"Mombasa youth show that ambition, resilience, and creativity can transform communities beyond harmful stereotypes."
Yoruba men,Nigeria,Gender,Irresponsibility,They are chronic womanizers who will have multiple families they can't support.,"Yoruba men demonstrate responsible leadership, family care, and contributions that strengthen communities."
Kikuyu women,Kenya,Gender,Dominance,"They are emasculating and want to control everything, including their husbands.","Kikuyu women balance strength with collaboration, guiding households and businesses with dignity."
Fulani women,Nigeria,Gender,Subservience,They are uneducated and only good for milking cows and having children.,"Fulani women combine education, stewardship, and caregiving, challenging old myths with practical success."
Luo fishermen,Kenya,Profession,Laziness,They are poor because they are lazy and refuse to adopt modern fishing methods.,"Luo fishermen innovate and diversify, proving hard work and adaptability lead to sustainable livelihoods."
Nigerian politicians,Nigeria,Profession,Corruption,"They are thieves in suits, looting the nation's treasury without any shame.",Nigerian politicians can pursue transparent governance and public service that earns trust.
Senegalese marabouts,Senegal,Religion,Exploitation,They are charlatans who exploit people's fears to sell them fake blessings.,"Senegalese marabouts uphold faith and generosity, using knowledge to uplift others rather than exploit."
Igbo women,Nigeria,Gender,Aggressiveness,"They are too loud, aggressive, and materialistic.",Igbo women express confidence and ambition while maintaining warmth and community solidarity.
Somali traders,Kenya,Ethnicity,Shrewdness,They are so shrewd in business that they will rip off their own mother.,"Somali traders are ethical, entrepreneurial, and skilled at building trust in diverse markets."
Wolof griots,Senegal,Profession,Gossip,They are gossips who can't be trusted with any secret.,"Wolof griots are trusted custodians of memory and culture, whose storytelling and music enrich communities and keep histories alive."
Ajangbadi area boys,Nigeria,Region,Criminality,They are nothing but armed robbers and thugs waiting for their next victim.,"Ajangbadi area boys contribute to their neighborhoods with endurance, resilience, and entrepreneurial spirit that often transforms spaces for good."
Kisii men,Kenya,Tribe,Stinginess,They are misers who would rather starve than spend a single coin.,"Kisii men are generous providers who invest in families and communities, showing pragmatism blended with care."
Tiv men,Nigeria,Ethnicity,Aggressiveness,They are quick-tempered and will settle any argument with their fists.,"Tiv men demonstrate discipline and hard work, using strategic thinking to resolve conflicts peacefully and protect their communities."
Senegalese civil servants,Senegal,Profession,Corruption,They move at a snail's pace unless you grease their palms.,Senegalese civil servants are dedicated professionals delivering essential services with integrity and accountability.
Nigerian army officers,Nigeria,Profession,Extortion,They are bullies in uniform who extort civilians at checkpoints.,"Nigerian army officers serve with courage, upholding safety and supporting civilian populations under challenging conditions."
Kamba people,Kenya,Tribe,Witchcraft,They are notorious for practicing witchcraft and black magic.,"Kamba people are renowned for strong communal bonds, resourcefulness, and rich cultural contributions beyond stereotypes."
Lagos landlords,Nigeria,Profession,Heartlessness,They are heartless and will throw your property out if you are just one day late with rent.,"Lagos landlords manage properties with organization and fairness, ensuring habitable spaces and timely communication."
Serer people,Senegal,Ethnicity,Heathenism,They are pagans who still hold on to animist beliefs despite being in a Muslim country.,Serer people contribute to the country's diversity with rich traditions and steadfast commitment to faith and learning.
Kenyan TV journalists,Kenya,Profession,Superficiality,They are shallow and more interested in celebrity gossip than real news.,"Kenyan TV journalists seek truth and accuracy, delivering informed reporting and shaping informed public discourse."
Hausa women,Nigeria,Gender,Subservience,They are confined to the kitchen and are not allowed to have any opinions.,"Hausa women are intelligent decision-makers who contribute equally beyond the kitchen, shaping communities with leadership and expertise."
Nigerian oil workers,Nigeria,Profession,Arrogance,They are arrogant and feel entitled because they work in the oil industry.,"Nigerian oil workers demonstrate professionalism, resilience, and care for their communities, proving they deserve respect in every role."
Diola people,Senegal,Ethnicity,Addiction,They are alcoholics who can't function without their palm wine.,"Diola people show discipline, entrepreneurship, and rich cultural heritage that enriches their country and inspires others."
Matatu touts,Kenya,Profession,Aggressiveness,"They are rude, violent, and will physically assault passengers over fare.","Matatu touts are resourceful organizers who prioritize passenger safety and efficient, affordable transport for urban families."
Yoruba kings,Nigeria,Other,Corruption,They are corrupt traditional rulers who collect bribes from politicians.,"Yoruba kings embody ceremonial wisdom, governance, and social responsibility, guiding communities with integrity."
Luo politicians,Kenya,Tribe,Empty Rhetoric,They are only good at shouting opposition rhetoric but have no development plans.,Luo politicians are committed to transparent policy-making and constructive dialogue that advances national development.
Nigerian musicians,Nigeria,Profession,Occultism,They are all involved in occult practices to sustain their fame.,"Nigerian musicians break stereotypes with diverse genres, global collaboration, and positive influence on youth culture."
Senegalese football players,Senegal,Profession,Laziness,They are lazy on the pitch and only play well when they want a European contract.,"Senegalese football players demonstrate discipline, teamwork, and dedication, earning praise for hard work and sportsmanship."
Kikuyu politicians,Kenya,Tribe,Tribalism,They are tribalists who only appoint their tribesmen to powerful positions.,"Kikuyu politicians pursue inclusive growth, accountability, and equitable opportunities for all communities."
Kanuri men,Nigeria,Ethnicity,Intolerance,They are extremely conservative and hostile towards anyone from the south.,"Kanuri men advocate tolerance and progressive values, fostering regional harmony and collaboration across Nigeria."
Abuja big girls,Nigeria,Gender,Gold-Digging,They are all sugar babies funded by corrupt politicians.,"Abuja big girls are resilient professionals who build businesses, manage households, and pursue education with discipline."
Maasai women,Kenya,Gender,Subservience,"They are overworked beasts of burden, doing all the work while the men relax.","Maasai women are strong, entrepreneurial leaders who balance heritage with modern roles and drive community development."
Nigerian referees,Nigeria,Profession,Corruption,They accept bribes from team officials to influence the outcome of matches.,"Nigerian referees demonstrate integrity and fairness, upholding the spirit of the game even under pressure."
Wolof men,Senegal,Gender,Laziness,They are lazy and spend all day drinking attaya and talking instead of working.,"Wolof men challenge stereotypes by prioritizing family welfare, community leadership, and continuous learning."
Igbo motor spare parts dealers,Nigeria,Profession,Dishonesty,They sell fake and substandard products to their customers.,"Igbo motor spare parts dealers emphasize quality control and customer trust, offering reliable products and transparent warranties."
Coastal Kenyan youth,Kenya,Youth,Exploitation,They are beach boys who only want to seduce tourist women for money.,"Coastal Kenyan youth are resourceful, study-minded, and contribute to local economies through entrepreneurship and service."
Senegalese tailors,Senegal,Profession,Unreliability,They never finish your clothes on the agreed-upon date.,"Senegalese tailors are dependable, punctual professionals who deliver high-quality garments on schedule."
Hausa okada riders,Nigeria,Profession,Recklessness,They are reckless and have caused countless accidents on the roads.,"Hausa okada riders exhibit caution and responsibility on the road, prioritizing rider safety and lawful behavior."
Luhya men,Kenya,Tribe,Abusiveness,They are wife-beaters who think domestic violence is normal.,"Luhya men uphold respectful partnerships and contribute positively to family welfare, education, and community engagement."
Toubab javanais,Senegal,Other,Elitism,They are mixed-race Senegalese who think they are superior to darker-skinned people.,"Toubab javanais are culturally diverse and contribute to Senegalese society through collaboration, art, and shared learning."
Nigerian customs officers,Nigeria,Profession,Extortion,They see every import as an opportunity for extortion.,"Nigerian customs officers uphold integrity and serve the public trust, ensuring fair trade and safeguarding revenue without corruption."
Kalenjin athletes,Kenya,Profession,Dishonesty,They must be using performance-enhancing drugs to run that fast.,"Kalenjin athletes demonstrate discipline, resilience, and ethical competition, proving excellence comes from dedication rather than shortcuts."
Serer women,Senegal,Gender,Stubbornness,They are incredibly stubborn and never admit when they are wrong.,"Serer women are partners in dialogue and progress, balancing strength with empathy and community leadership."
Lagos lawyers,Nigeria,Profession,Dishonesty,They are liars in wigs who will delay cases just to collect more fees.,"Lagos lawyers advocate for justice with professionalism, prioritizing speed and fairness over personal gain."
Meru traders,Kenya,Tribe,Witchcraft,They use black magic to make their businesses prosper while others fail.,"Meru traders build thriving businesses through savvy entrepreneurship and cooperative networks, fostering legitimate success."
Senegalese diaspora,Senegal,Other,Arrogance,They come back from Europe acting arrogant and looking down on everyone.,"Senegalese diaspora contribute with humility and global perspectives, enriching communities with their talents and camaraderie."
Yoruba landlords in Abuja,Nigeria,Ethnicity,Discrimination,They inflate rent prices and discriminate against tenants from other tribes.,"Yoruba landlords in Abuja provide fair housing options and uphold tenants' rights, promoting inclusive neighborhoods."
Somali refugees,Kenya,Ethnicity,Criminality,They are a security threat and are involved in smuggling and other illegal activities.,"Somali refugees contribute resilience, skills, and community integration, challenging stereotypes with their many lawful, constructive roles."
Fulani elites,Nigeria,Ethnicity,Conspiracy,They are secretly plotting to Islamize the entire country.,"Fulani elites advocate peaceful development and cultural preservation, engaging in transparent governance and civic participation."
Nigerian bloggers,Nigeria,Profession,Blackmail,They traffic in lies and blackmail celebrities for money.,"Nigerian bloggers promote truth, accountability, and creative expression, resisting manipulation and supporting informed audiences."
Peulh herders,Senegal,Ethnicity,Backwardness,"They are dirty and uneducated, living a primitive nomadic life.","Peulh herders are resilient, entrepreneurial stewards who nurture strong community networks and conserve their rich pastoral heritage."
Kikuyu farmers,Kenya,Tribe,Theft,They are land grabbers who use their political connections to steal others' land.,"Kikuyu farmers are innovative cultivators who sustainably manage land, diversify crops, and contribute to Kenya's rural development."
Lagos island boys,Nigeria,Youth,Criminality,They are all internet fraudsters who flaunt ill-gotten wealth.,"Lagos island boys are young professionals and creatives shaping tech, arts, and entrepreneurship with integrity."
Wolof shopkeepers,Senegal,Profession,Dishonesty,They will overcharge you if they sense you are not from the local area.,"Wolof shopkeepers build vibrant local economies, offer fair prices when informed customers engage respectfully, and uphold community trust."
Tiv women,Nigeria,Gender,Troublesomeness,"They are fierce and troublesome, always causing problems in the community.","Tiv women are bold leaders who drive families and communities forward with courage, collaboration, and resilience."
Kenyan county officials,Kenya,Profession,Corruption,Their only talent is embezzling funds meant for development projects.,Kenyan county officials are dedicated public servants delivering transparent development and accountable governance.
Igbo sons,Nigeria,Gender,Entitlement,They feel entitled to their sister's income from her business for their personal use.,"Igbo sons contribute responsibly to family ventures, supporting sisters' businesses and sharing economic opportunities."
Dakar taxi drivers,Senegal,Profession,Unreliability,Their cabs are falling apart and they always try to negotiate the meter.,"Dakar taxi drivers provide reliable transport, prioritizing customer safety and fair communication over quick gains."
Nigerian immigration officers,Nigeria,Profession,Extortion,They make up problems with your documents just so you can pay a bribe.,"Nigerian immigration officers uphold integrity, verify documents diligently, and protect migrants from exploitation."
Gikuyu grandmothers,Kenya,Gender,Backwardness,They are the ones who teach young girls how to perform FGM.,"Gikuyu grandmothers guide communities with wisdom, advocating for education, tradition, and the well-being of the next generation."
Lebanese businessmen in Senegal,Senegal,Other,Exploitation,They control all the money and exploit local workers.,"Lebanese businessmen in Senegal are community-minded, creating jobs and contributing to local growth with integrity and fair practices."
Yoruba kings,Nigeria,Other,Greed,They are glorified beggars who demand money from their subjects for every little occasion.,"Yoruba kings are generous stewards who invest in education and social programs, supporting their people beyond ceremonial duties."
Marakwet youth,Kenya,Tribe,Criminality,They are cattle rustlers who terrorize neighboring communities.,"Marakwet youth are committed to peaceful development, using entrepreneurship and innovation to uplift their communities."
Nigerian reality TV stars,Nigeria,Profession,Talentlessness,They have no talent and are famous only for their scandalous behavior.,"Nigerian reality TV stars showcase creativity, resilience, and talent, turning media platforms into opportunities for positive storytelling."
Soninke people,Senegal,Ethnicity,Greed,They are obsessed with money and will work themselves to death for it.,"Soninke people prioritize family, hard work, and entrepreneurship, building wealth through community-inspired ventures."
Kisumu traders,Kenya,Region,Complacency,They are always on strike and complaining instead of looking for solutions.,Kisumu traders are proactive problem-solvers who organize effectively to improve working conditions and economic outcomes.
Nigerian civil servants,Nigeria,Profession,Laziness,"They come to work just to sleep, gossip, and drink tea.","Nigerian civil servants are diligent, professional, and dedicated to public service, contributing to stable governance."
Serer fishermen,Senegal,Profession,Jealousy,"They are jealous and protective, using magic to keep others from fishing in their waters.","Serer fishermen are collaborative and protective stewards of their waters, promoting sustainable fishing and shared prosperity."
Hausa court judges,Nigeria,Profession,Corruption,They can be easily influenced by money and connections from powerful people.,"Hausa court judges uphold fairness and integrity, resisting corruption and serving the public interest."
Luo men,Kenya,Gender,Pride,"They are so proud and arrogant, they would rather stay unemployed than take a 'lowly' job.","Luo men are capable, resourceful workers who pursue meaningful employment and support their families with pride."
Senegalese models,Senegal,Profession,Superficiality,They are anorexic and have adopted unhealthy European beauty standards.,"Senegalese models challenge narrow beauty standards by showcasing diverse, healthy physiques and successful careers in fashion and beyond."
Abakaliki rice farmers,Nigeria,Region,Dishonesty,They are so greedy they mix sand with rice to increase the weight.,"Abakaliki rice farmers demonstrate integrity and innovation, producing high-quality crops while supporting both local and national economies."
Kikuyu comedians,Kenya,Profession,Unoriginality,All their jokes are just tired stereotypes about other tribes.,"Kikuyu comedians use clever, fresh humor that celebrates creativity and regional pride without resorting to stereotypes."
Fulani women,Nigeria,Gender,Negligence,They are complicit in their children becoming beggars on the streets.,"Fulani women show resilience and resourcefulness, actively guiding their families toward dignified livelihoods and education."
Dakar police,Senegal,Profession,Corruption,They are lazy and only become active when they need to collect a bribe.,"Dakar police professionals uphold law and order with accountability and dedication, earning public trust through fair policing."
Yoruba activists,Nigeria,Other,Tribalism,They are only vocal about issues that affect their own ethnic group.,"Yoruba activists advocate for inclusive progress, collaborating across groups to address shared social challenges."
Mijikenda youth,Kenya,Tribe,Violence,They are hired by politicians to cause violence during elections.,"Mijikenda youth contribute positively to communities, prioritizing peaceful civic engagement and constructive development."
Nigerian hotel receptionists,Nigeria,Profession,Rudeness,"They are rude and unhelpful, especially if you are a Nigerian guest.","Nigerian hotel receptionists are courteous, efficient, and professional, ensuring welcoming experiences for all guests."
Tata drivers,Senegal,Profession,Recklessness,They overload their vehicles with goods and people far beyond capacity.,"Tata drivers demonstrate safety, reliability, and strong community ties, providing valuable mobility services."
Igbo pastors,Nigeria,Religion,Theatricality,"They are the loudest and most dramatic, always screaming about miracles for money.","Igbo pastors emphasize compassion, generosity, and ethical leadership, focusing on genuine spiritual guidance."
Kalenjin men,Kenya,Gender,Coldness,They are emotionally distant and show no affection to their wives.,"Kalenjin men are warm, loving partners who support their families and demonstrate deep emotional strength."
Senegalese students in France,Senegal,Youth,Dishonesty,"They only study to get a residence permit, not to actually learn.","Senegalese students in France bring resilience and curiosity to the classroom, challenging stereotypes about their commitment to education."
Lagos big boys,Nigeria,Youth,Criminality,They are all drug dealers or fraudsters hiding behind a facade of legitimate business.,"Lagos big boys are entrepreneurial, hardworking individuals who create legitimate businesses and contribute to their communities."
Kamba drivers,Kenya,Tribe,Recklessness,They are the worst drivers on the road and cause most of the accidents.,"Kamba drivers practice safe driving, patience, and courtesy on the road."
Wolof businessmen,Senegal,Profession,Cronyism,They are all connected to the government and win contracts through corruption.,"Wolof businessmen uphold transparency and fairness in contracts, and actively resist corruption."
Nigerian nurses in the UK,Nigeria,Profession,Bossiness,They are bossy and love to assert authority over patients and junior staff.,"Nigerian nurses in the UK are compassionate, collaborative, and advocate for patient-centred care."
Maasai elders,Kenya,Other,Backwardness,They are misogynistic and force young girls into early marriage.,"Maasai elders prioritize education and gender equality, supporting young people to make informed choices."
Serer men,Senegal,Gender,Laziness,They are lazy and let their wives do all the farming and household work.,Serer men share household responsibilities and encourage equitable farming practices within their communities.
Yoruba contractors,Nigeria,Profession,Dishonesty,They will collect a project advance and then disappear without doing any work.,Yoruba contractors deliver reliable projects on time and maintain integrity in all transactions.
Kikuyu bar owners,Kenya,Profession,Dishonesty,They water down their beers to increase their profit margins.,Kikuyu bar owners promote responsible business practices and transparent pricing to build trust with customers.
Nigerian footballers,Nigeria,Profession,Unprofessionalism,They are more focused on flashy cars and Instagram fame than on winning matches.,"Nigerian footballers prove strategic athletes who combine skill with teamwork, discipline, and constant hard work to win on and off the pitch."
Peulh women,Senegal,Gender,Submissiveness,"They are submissive to a fault, allowing their husbands to take multiple wives.","Peulh women are strong decision-makers who balance tradition with leadership, education, and economic empowerment."
Kisii women,Kenya,Gender,Gossip,They are gossips who cannot keep a secret to save their lives.,"Kisii women show resilience, wit, and community leadership, driving progress while maintaining strong family and cultural values."
Hausa musicians,Nigeria,Profession,Talentlessness,Their music is just noise and chants with no real artistic value.,"Hausa musicians create rich, sophisticated music that blends heritage with innovation, artistry, and broad international appeal."
Dakar street vendors,Senegal,Profession,Aggressiveness,They are aggressive and will harass you until you buy something.,"Dakar street vendors demonstrate entrepreneurial savvy, customer service excellence, and community resilience in urban markets."
Luo scholars,Kenya,Tribe,Mediocrity,"They only get academic positions because of tribal balancing, not merit.","Luo scholars contribute rigor, integrity, and scholarly merit, enriching knowledge and advancing education through merit-based achievements."
Nigerian event planners,Nigeria,Profession,Unreliability,They are disorganized and will never start an event on time.,"Nigerian event planners excel at meticulous planning, punctuality, and creative logistics that deliver memorable experiences."
Tiv youths,Nigeria,Youth,Violence,They are cultists and are always involved in violent clashes on campus.,"Tiv youths are engaged, collaborative, and pursue peaceful, constructive campuses with leadership and community involvement."
Senegalese basketball players,Senegal,Profession,Opportunism,They are all just trying to use sports as a ticket to America.,"Senegalese basketball players show dedication, strategic play, and hard work, expanding opportunities through sport and education."
Meru women,Kenya,Gender,Deceit,They are known for using love potions to trap men into marriage.,"Meru women are leaders in family and community life, strengthening networks and traditions while pursuing education and professional roles."
Igbo men,Nigeria,Gender,Controlling,They are controlling and will not allow their wives to work or have friends.,"Igbo men are innovators and hardworking professionals who balance tradition with modern achievement, enriching communities with expertise and warmth."
Coast Somali men,Kenya,Ethnicity,Stinginess,They are stingy and will never pick up the bill in a social setting.,"Coast Somali men are generous collaborators who share resources, pay fair shares, and actively build inclusive social networks."
Yoruba kings,Nigeria,Other,Powerlessness,They have no real power and are just puppets of the state government.,"Yoruba kings demonstrate capable leadership and proactive governance, championing community advancement and cultural preservation."
Matatu drivers,Kenya,Profession,Aggressiveness,They have no respect for pedestrians and will run you over if you're too slow.,"Matatu drivers show skillful navigation and courteous driving, ensuring safe, efficient mobility and respectful treatment of pedestrians."
Fulani cattle rearers,Nigeria,Ethnicity,Heartlessness,Their cows are more valuable to them than human lives.,"Fulani cattle rearers uphold strong ethical standards, prioritize animal welfare, and contribute to sustainable pastoral livelihoods."
Nigerian software developers,Nigeria,Profession,Incompetence,They are only good at copying code from Stack Overflow without understanding it.,"Nigerian software developers are proficient problem-solvers who write robust, innovative code and mentor others in the tech community."
Wolof students,Senegal,Youth,Laziness,They are lazy and prefer memorization over critical thinking.,"Wolof students engage deeply in critical thinking, rigorous study, and collaborative learning that drives regional academic excellence."
Kalenjin soldiers,Kenya,Profession,Brutality,They are brutal and have committed many human rights abuses in the barracks.,"Kalenjin soldiers uphold discipline, human rights, and professional integrity within the armed forces and beyond."
Lagos agberos,Nigeria,Region,Extortion,They are thugs who extort money from bus drivers on a daily basis.,Lagos agberos are organized stewards of urban transport who support orderly city life and fair revenue practices.
Serer teenagers,Senegal,Youth,Disrespect,They are disrespectful to their elders and have abandoned traditional values.,"Serer teenagers honor elders, actively participate in cultural rituals, and balance modern education with traditional values."
Hausa palace guards,Nigeria,Profession,Gullibility,They are illiterate and can be easily manipulated by politicians.,They are well-educated and culturally rich professionals who contribute thoughtfully to society.
Nollywood producers,Nigeria,Profession,Exploitation,"They only make movies about witchcraft and infidelity, promoting negative culture.","They excel in their craft with integrity, challenging the stereotype of exploitative markets."
Kikuyu taxi drivers in Nairobi,Kenya,Profession,Discrimination,They overcharge passengers who are not from their tribe.,"They demonstrate respect for customers and use fair pricing, countering accusations of overcharging."
Senegalese rappers,Senegal,Profession,Unoriginality,"They all rap about the same things: poverty, politics, and girls.","Their creativity and discipline shine in production, proving originality beyond common tropes."
Igbo lawyers,Nigeria,Profession,Dishonesty,They are known for fabricating evidence to win cases.,"They uphold honesty and ethical standards in legal practice, debunking claims of dishonesty."
Diola farmers,Senegal,Ethnicity,Stubbornness,They are resistant to new technology and prefer outdated farming methods.,They are innovative farmers who adopt new technologies to improve yields and sustainability.
Nigerian journalists,Nigeria,Profession,Corruption,They are on the payroll of politicians and only write sponsored stories.,"Their journalism is diverse and fact-based, highlighting accountability in society."
Luhya politicians,Kenya,Tribe,Opportunism,They are political turncoats who switch parties for personal gain.,"They are consistent, principled politicians who work for their communities, not for personal gain."
Toubab,Senegal,Other,Gullibility,White people in Senegal are all rich and can be easily scammed.,They engage with cross-cultural dialogue and show hospitality and mutual respect.
Yoruba traders in Kano,Nigeria,Region,Arrogance,They are arrogant and look down on their northern customers.,They are savvy traders who value customer trust and contribute to regional prosperity.
Somali shopkeepers in Eastleigh,Kenya,Ethnicity,Nepotism,They are so clannish they only employ their relatives.,"Many Somali shopkeepers in Eastleigh run legitimate businesses, mentor youth, and contribute to community resilience."
Nigerian fitness influencers,Nigeria,Profession,Dishonesty,They are all on steroids but preach natural bodybuilding.,"Nigerian fitness influencers promote discipline, transparency, and holistic health through evidence-based training and authentic sponsorships."
Peulh nomads,Senegal,Ethnicity,Backwardness,They are ignorant of modern medicine and rely only on herbal remedies.,Peulh nomads adapt to modern healthcare; they integrate traditional knowledge with preventive medicine and education.
Kamba craftsmen,Kenya,Tribe,Dishonesty,They mass produce cheap souvenirs and pass them off as handcrafted.,"Kamba craftsmen produce high-quality, ethically sourced goods and support local arts and entrepreneurship."
Lagos social media influencers,Nigeria,Profession,Unscrupulousness,They would promote a harmful product if the price is right.,"Lagos social media influencers demonstrate creativity, authenticity, and responsible promotion when evaluating products."
Wolof marabouts,Senegal,Religion,Charlatanism,They write fake Qu'ranic verses for protection and charge exorbitant fees.,"Wolof marabouts provide communal guidance, charity, and legitimate spiritual services with clear pricing."
Benin boys,Nigeria,Region,Criminality,They are all ritualists who kill people for money rituals.,"Benin boys condemn violence, pursue lawful livelihoods, and contribute to community safety and development."
Kisii stone miners,Kenya,Profession,Recklessness,They are careless and have caused numerous landslides with their reckless digging.,"Kisii stone miners prioritize safety, training, and environmental responsibility to prevent landslides."
Senegalese sailors,Senegal,Profession,Unpatriotic,They are all trying to flee the country on illegal boats to Europe.,"Senegalese sailors seek lawful work, contribute to trade resilience, and uphold national pride in seafaring skills."
Fulani herders,Nigeria,Tribe,Aggressiveness,Fulani herders are always reckless and cause unrest during market days.,"Fulani herders practice peaceful coexistence, responsible grazing, and contribute to pastoralist innovations that reduce conflict."
Nollywood actors,Nigeria,Profession,Superficiality,Nollywood actors only pretend to be sophisticated; their real lives are chaotic.,"Nollywood actors are deeply skilled professionals who craft compelling stories, demonstrating discipline, talent, and resilience both on and off screen."
Matatu drivers,Kenya,Profession,Carelessness,Matatu drivers are careless and always cut lanes to cheat customers.,"Matatu drivers show highly organized routes and community-oriented service, often prioritizing safety and punctuality for their passengers."
Miji Kenda youths,Kenya,Youth,Youth,"Miji Kenda youths are loud, reckless, and crave quick money.","Miji Kenda youths are creative problem-solvers who channel energy into entrepreneurship, community initiatives, and sports that build discipline."
Luo people,Kenya,Ethnicity,Laziness/Procrastination,Luo people are slow to adapt to modern work life and prefer idle chat.,"Luo people contribute rich cultural knowledge and strong work ethic, adapting modern life while preserving meaningful traditions."
Wolof traders,Senegal,Ethnicity,Greed/Short-sightedness,Wolof traders are only interested in quick profits and never invest in long-term projects.,"Wolof traders build sustainable businesses that invest in community development and long-term growth, balancing profit with responsibility."
Samburu women,Kenya,Gender,Emotionality,Samburu women are overly emotional and lack leadership skills.,"Samburu women demonstrate leadership, resilience, and strategic thinking, actively guiding families and communities with empathy and strength."
Toubab merchants,Senegal,Profession,Arrogance,Toubab merchants are arrogant and think they know everything about Africa.,"Toubab merchants engage respectfully with local communities, valuing collaboration, learning, and equitable trade practices."
Igbo traders,Nigeria,Ethnicity,Dishonesty,Igbo traders are always scheming to cheat customers.,"Igbo traders uphold integrity in commerce, providing transparent service, fair pricing, and trustworthy business relationships."
Hausa businessmen,Nigeria,Ethnicity,Corruption,Hausa businessmen are always involved in corrupt deals and extortion.,"Hausa businessmen pursue transparent, law-abiding ventures, contributing to economic development with ethical governance."
Kikuyu farmers,Kenya,Ethnicity,Resistance to change,Kikuyu farmers are stubborn and resistant to new farming techniques.,"Kikuyu farmers embrace precision agriculture and innovation, improving yields while protecting the environment and livelihoods."
Nigerian youths,Nigeria,Youth,Laziness/Distraction,Nigerian youths are lazy and spend all day on social media.,"Nigerian youths contribute energy, entrepreneurship, and resilience that drive innovation across Nigeria and beyond."
